sample,samples,TCGA_GTEX_main_category,_sample_type,_study,_primary_site,CD19,TNFRSF17,MS4A1,CD22,GPRC5D,SLAMF7,ERBB2,EGFR,MSLN,CD276,CD19_level,TNFRSF17_level,MS4A1_level,CD22_level,GPRC5D_level,SLAMF7_level,ERBB2_level,EGFR_level,MSLN_level,CD276_level,high_target_count,coexpress_2plus
TCGA-AB-2886-03,TCGA-AB-2886-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,12.33,4.073,9.604,8.995,1.214,7.567,7.711,1.214,7.191,4.466,High,Mid,High,High,Low,Mid,Low,Low,Mid,Low,3,Yes
TCGA-AB-2830-03,TCGA-AB-2830-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,11.47,6.059,11.58,10.51,1.337,9.109,8.492,2.48,0.0,5.549,High,High,High,High,Low,High,Low,Low,Low,Low,5,Yes
TCGA-AB-2875-03,TCGA-AB-2875-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,11.34,5.371,9.736,9.846,1.23,9.064,8.099,0.0,5.223,7.025,High,High,High,High,Low,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2858-03,TCGA-AB-2858-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,10.36,6.219,8.205,7.481,5.811,8.856,8.104,3.114,5.85,3.551,High,High,High,Mid,High,Mid,Low,Low,Mid,Low,4,Yes
TCGA-AB-2918-03,TCGA-AB-2918-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,10.36,4.144,7.866,8.085,1.132,7.49,6.979,2.799,1.132,4.766,High,Mid,High,Mid,Low,Mid,Low,Low,Low,Low,2,Yes
TCGA-AB-2817-03,TCGA-AB-2817-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,10.34,4.171,9.607,11.65,0.0,9.121,8.708,4.315,3.098,5.05,High,Mid,High,High,Low,High,Low,Low,Mid,Low,4,Yes
TCGA-AB-2862-03,TCGA-AB-2862-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,10.01,4.949,10.36,9.934,1.463,7.918,7.887,1.463,2.175,7.715,High,High,High,High,Low,Mid,Low,Low,Low,Low,4,Yes
TCGA-AB-3008-03,TCGA-AB-3008-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.928,4.865,8.922,11.59,1.227,8.358,9.376,5.874,2.67,6.03,High,High,High,High,Low,Mid,Low,Low,Mid,Low,4,Yes
TCGA-AB-2871-03,TCGA-AB-2871-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.88,6.823,12.29,10.91,4.961,10.61,8.647,0.0,4.007,2.945,High,High,High,High,High,High,Low,Low,Mid,Low,6,Yes
TCGA-AB-2937-03,TCGA-AB-2937-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.828,3.998,6.983,7.794,2.726,6.751,8.919,0.0,6.825,7.237,High,Mid,High,Mid,Mid,Mid,Low,Low,Mid,Low,2,Yes
TCGA-AB-2819-03,TCGA-AB-2819-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.743,5.031,8.729,8.263,2.827,8.983,6.775,4.27,12.89,5.185,High,High,High,Mid,Mid,Mid,Low,Low,High,Low,4,Yes
TCGA-AB-2857-03,TCGA-AB-2857-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.677,6.787,13.01,12.21,3.611,10.75,8.672,5.938,0.0,7.33,High,High,High,High,Mid,High,Low,Low,Low,Low,5,Yes
TCGA-AB-2806-03,TCGA-AB-2806-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.445,5.672,9.216,7.536,1.834,8.758,7.485,1.19,6.504,4.736,High,High,High,Mid,Low,Mid,Low,Low,Mid,Low,3,Yes
TCGA-AB-2899-03,TCGA-AB-2899-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.335,7.042,11.64,11.62,5.707,10.86,7.429,5.932,1.468,9.339,High,High,High,High,High,High,Low,Low,Low,Low,6,Yes
TCGA-AB-2920-03,TCGA-AB-2920-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,9.076,6.091,9.928,11.51,3.517,9.064,7.505,0.0,3.851,6.982,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2930-03,TCGA-AB-2930-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.967,5.083,9.325,9.031,5.431,8.665,7.916,0.0,1.612,3.358,High,High,High,High,High,Mid,Low,Low,Low,Low,5,Yes
TCGA-AB-2868-03,TCGA-AB-2868-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.908,8.266,11.83,10.96,4.907,12.12,8.997,4.024,2.019,3.345,High,High,High,High,High,High,Low,Low,Low,Low,6,Yes
TCGA-AB-2832-03,TCGA-AB-2832-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.852,5.743,9.267,8.944,3.244,8.335,8.297,0.0,13.53,2.605,High,High,High,High,Mid,Mid,Low,Low,High,Low,5,Yes
TCGA-AB-2943-03,TCGA-AB-2943-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.786,7.122,12.46,12.04,4.802,10.94,8.459,5.1,3.118,7.738,High,High,High,High,High,High,Low,Low,Mid,Low,6,Yes
TCGA-AB-2952-03,TCGA-AB-2952-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.771,5.906,10.55,11.67,4.244,10.4,8.737,2.277,4.339,7.042,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2894-03,TCGA-AB-2894-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.751,5.336,9.598,7.859,1.439,9.436,8.541,1.439,11.93,9.516,High,High,High,Mid,Low,High,Low,Low,High,Low,5,Yes
TCGA-AB-2986-03,TCGA-AB-2986-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.748,5.628,7.551,6.906,0.0,7.721,6.635,0.0,1.977,1.977,High,High,High,Mid,Low,Mid,Low,Low,Low,Low,3,Yes
TCGA-AB-2956-03,TCGA-AB-2956-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.732,2.601,8.902,10.43,1.181,6.907,6.604,0.0,2.601,10.85,High,Mid,High,High,Low,Mid,Low,Low,Mid,Mid,3,Yes
TCGA-AB-2936-03,TCGA-AB-2936-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.712,5.033,12.08,10.95,4.077,10.23,8.361,2.414,1.289,3.649,High,High,High,High,Mid,High,Low,Low,Low,Low,5,Yes
TCGA-AB-2950-03,TCGA-AB-2950-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.705,6.261,8.993,7.804,2.47,8.984,6.905,4.895,10.68,5.871,High,High,High,Mid,Mid,Mid,Low,Low,High,Low,4,Yes
TCGA-AB-2988-03,TCGA-AB-2988-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.65,5.221,8.747,9.345,0.0,6.743,6.903,0.0,0.0,6.333,High,High,High,High,Low,Mid,Low,Low,Low,Low,4,Yes
TCGA-AB-2843-03,TCGA-AB-2843-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.582,7.902,10.08,10.12,5.616,11.05,6.99,2.808,3.701,9.117,High,High,High,High,High,High,Low,Low,Mid,Low,6,Yes
TCGA-AB-2897-03,TCGA-AB-2897-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.57,5.801,8.554,8.307,1.635,7.422,8.355,3.769,1.635,7.475,High,High,High,Mid,Low,Mid,Low,Low,Low,Low,3,Yes
TCGA-AB-2990-03,TCGA-AB-2990-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.517,8.349,10.52,9.967,5.506,10.97,8.591,0.0,2.369,6.844,High,High,High,High,High,High,Low,Low,Low,Low,6,Yes
TCGA-AB-2921-03,TCGA-AB-2921-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.494,5.222,9.454,9.107,2.91,7.869,7.527,0.0,2.5,5.257,High,High,High,High,Mid,Mid,Low,Low,Low,Low,4,Yes
TCGA-AB-2881-03,TCGA-AB-2881-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.441,3.595,11.39,10.55,0.0,9.718,7.697,1.255,12.65,1.915,High,Mid,High,High,Low,High,Low,Low,High,Low,5,Yes
TCGA-AB-2851-03,TCGA-AB-2851-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.412,6.22,10.45,10.09,2.86,8.399,7.852,0.0,6.66,8.337,High,High,High,High,Mid,Mid,Low,Low,Mid,Low,4,Yes
TCGA-AB-2987-03,TCGA-AB-2987-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.382,5.448,11.46,10.62,3.873,10.55,8.08,6.515,3.253,9.857,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2991-03,TCGA-AB-2991-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.339,4.916,10.15,9.809,0.0,8.783,7.533,4.266,2.217,9.657,High,High,High,High,Low,Mid,Low,Low,Low,Low,4,Yes
TCGA-AB-2944-03,TCGA-AB-2944-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.33,3.869,7.764,10.47,0.0,7.207,8.76,0.0,5.67,8.578,High,Mid,High,High,Low,Mid,Low,Low,Mid,Low,3,Yes
TCGA-AB-2999-03,TCGA-AB-2999-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.235,6.336,10.72,9.212,5.734,9.24,7.986,4.312,3.48,6.924,High,High,High,High,High,High,Low,Low,Mid,Low,6,Yes
TCGA-AB-2840-03,TCGA-AB-2840-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.144,3.999,8.495,8.997,0.0,4.727,7.294,3.321,0.0,7.071,High,Mid,High,High,Low,Low,Low,Low,Low,Low,3,Yes
TCGA-AB-2973-03,TCGA-AB-2973-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.111,6.258,11.34,10.51,4.231,10.31,6.919,4.669,1.688,7.517,High,High,High,High,Mid,High,Low,Low,Low,Low,5,Yes
TCGA-AB-2979-03,TCGA-AB-2979-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.099,3.181,9.907,9.687,2.488,8.404,7.517,4.953,1.106,4.443,High,Mid,High,High,Mid,Mid,Low,Low,Low,Low,3,Yes
TCGA-AB-2880-03,TCGA-AB-2880-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.082,3.553,6.718,7.909,1.341,8.454,7.071,0.0,0.0,4.49,High,Mid,High,Mid,Low,Mid,Low,Low,Low,Low,2,Yes
TCGA-AB-2896-03,TCGA-AB-2896-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.07,4.758,8.062,8.16,5.731,7.484,7.318,0.0,0.0,5.65,High,Mid,High,Mid,High,Mid,Low,Low,Low,Low,3,Yes
TCGA-AB-2883-03,TCGA-AB-2883-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,8.059,7.271,8.308,7.16,5.4,10.21,7.595,5.548,8.189,6.075,High,High,High,Mid,High,High,Low,Low,High,Low,6,Yes
TCGA-AB-2860-03,TCGA-AB-2860-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.968,8.8,10.84,10.48,6.109,11.96,6.915,4.314,2.867,7.863,High,High,High,High,High,High,Low,Low,Mid,Low,6,Yes
TCGA-AB-2927-03,TCGA-AB-2927-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.955,7.555,11.15,10.18,3.844,11.2,8.274,5.36,2.118,5.81,High,High,High,High,Mid,High,Low,Low,Low,Low,5,Yes
TCGA-AB-2983-03,TCGA-AB-2983-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.949,7.661,10.5,10.18,3.264,10.59,8.002,5.46,3.264,5.46,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2904-03,TCGA-AB-2904-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.894,6.331,10.8,11.8,4.236,9.785,9.096,4.466,1.391,4.568,High,High,High,High,Mid,High,Low,Low,Low,Low,5,Yes
TCGA-AB-3011-03,TCGA-AB-3011-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.894,6.321,10.28,9.681,3.717,8.98,8.422,3.923,2.336,3.717,High,High,High,High,Mid,Mid,Low,Low,Low,Low,4,Yes
TCGA-AB-2821-03,TCGA-AB-2821-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.888,6.683,11.1,10.19,4.831,10.42,8.578,7.481,2.081,7.025,High,High,High,High,High,High,Low,Low,Low,Low,6,Yes
TCGA-AB-2910-03,TCGA-AB-2910-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.873,3.171,9.451,8.502,2.148,7.147,6.915,2.148,8.87,10.97,High,Mid,High,Mid,Mid,Mid,Low,Low,High,Mid,3,Yes
TCGA-AB-2859-03,TCGA-AB-2859-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.829,7.582,10.07,9.154,4.491,10.33,7.801,1.951,6.512,6.394,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2869-03,TCGA-AB-2869-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.815,5.951,9.611,9.38,2.447,9.092,8.811,0.0,1.313,6.974,High,High,High,High,Mid,High,Low,Low,Low,Low,5,Yes
TCGA-AB-2884-03,TCGA-AB-2884-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.812,5.778,10.54,9.665,3.215,8.589,8.049,0.0,4.346,8.639,High,High,High,High,Mid,Mid,Low,Low,Mid,Low,4,Yes
TCGA-AB-2898-03,TCGA-AB-2898-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.791,6.761,10.05,9.347,3.781,9.671,8.695,5.423,4.121,5.423,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2934-03,TCGA-AB-2934-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.771,5.244,9.891,10.18,2.649,9.828,7.361,0.0,3.354,6.006,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-3006-03,TCGA-AB-3006-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.742,4.671,10.59,9.586,1.287,8.031,8.331,1.956,2.757,3.47,High,Mid,High,High,Low,Mid,Low,Low,Mid,Low,3,Yes
TCGA-AB-2949-03,TCGA-AB-2949-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.731,5.146,8.43,8.872,2.882,8.891,7.891,2.608,3.484,4.921,High,High,High,High,Mid,Mid,Low,Low,Mid,Low,4,Yes
TCGA-AB-3000-03,TCGA-AB-3000-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.718,5.13,7.834,9.101,1.239,8.541,7.519,4.42,2.345,3.571,High,High,High,High,Low,Mid,Low,Low,Low,Low,4,Yes
TCGA-AB-2993-03,TCGA-AB-2993-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.709,6.183,9.369,7.789,2.142,7.8,8.094,4.175,3.253,6.953,High,High,High,Mid,Mid,Mid,Low,Low,Mid,Low,3,Yes
TCGA-AB-2815-03,TCGA-AB-2815-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.702,5.916,8.849,7.663,2.363,8.957,7.73,3.591,11.97,6.482,High,High,High,Mid,Mid,Mid,Low,Low,High,Low,4,Yes
TCGA-AB-2977-03,TCGA-AB-2977-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.686,4.537,10.09,9.035,3.983,7.452,7.506,0.0,4.994,4.937,High,Mid,High,High,Mid,Mid,Low,Low,Mid,Low,3,Yes
TCGA-AB-2941-03,TCGA-AB-2941-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.66,3.672,10.18,9.175,2.434,7.358,7.25,3.496,1.977,4.614,High,Mid,High,High,Mid,Mid,Low,Low,Low,Low,3,Yes
TCGA-AB-2914-03,TCGA-AB-2914-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.635,6.511,10.33,8.624,3.646,8.938,6.655,1.546,11.68,4.897,High,High,High,Mid,Mid,Mid,Low,Low,High,Low,4,Yes
TCGA-AB-2911-03,TCGA-AB-2911-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.628,5.997,9.929,9.222,1.599,10.35,7.239,0.0,3.188,7.054,High,High,High,High,Low,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2878-03,TCGA-AB-2878-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.625,8.144,10.93,9.385,5.332,11.08,6.823,6.805,2.725,6.858,High,High,High,High,High,High,Low,Low,Mid,Low,6,Yes
TCGA-AB-2872-03,TCGA-AB-2872-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.598,6.707,10.02,9.705,3.188,9.152,7.884,6.129,0.0,6.866,High,High,High,High,Mid,High,Low,Low,Low,Low,5,Yes
TCGA-AB-2848-03,TCGA-AB-2848-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.537,5.841,10.49,9.339,6.146,8.737,7.717,1.702,1.702,8.969,High,High,High,High,High,Mid,Low,Low,Low,Low,5,Yes
TCGA-AB-2994-03,TCGA-AB-2994-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.522,4.319,9.343,8.767,3.708,8.67,7.365,0.0,0.0,9.877,High,Mid,High,High,Mid,Mid,Low,Low,Low,Low,3,Yes
TCGA-AB-2972-03,TCGA-AB-2972-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.503,6.008,9.297,8.511,3.903,8.884,7.91,2.405,0.0,1.052,High,High,High,Mid,Mid,Mid,Low,Low,Low,Low,3,Yes
TCGA-AB-2996-03,TCGA-AB-2996-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.496,6.626,10.03,9.171,2.538,10.83,6.672,6.16,4.219,5.302,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2895-03,TCGA-AB-2895-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.494,2.071,7.951,7.415,0.0,5.987,7.854,1.379,0.0,7.374,High,Mid,High,Mid,Low,Mid,Low,Low,Low,Low,2,Yes
TCGA-AB-2836-03,TCGA-AB-2836-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.483,5.149,9.694,9.37,1.25,8.975,7.483,0.0,1.25,8.113,High,High,High,High,Low,Mid,Low,Low,Low,Low,4,Yes
TCGA-AB-2837-03,TCGA-AB-2837-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.472,5.533,10.16,9.17,2.508,8.042,7.749,0.0,1.358,8.856,High,High,High,High,Mid,Mid,Low,Low,Low,Low,4,Yes
TCGA-AB-2818-03,TCGA-AB-2818-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.466,6.582,10.61,9.189,3.884,9.139,6.688,3.112,5.453,6.91,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2995-03,TCGA-AB-2995-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.413,7.134,10.72,9.663,4.357,11.4,8.675,5.426,2.807,5.321,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2811-03,TCGA-AB-2811-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.408,4.231,9.423,8.306,5.054,7.721,7.21,0.0,11.03,6.258,High,Mid,High,Mid,High,Mid,Low,Low,High,Low,4,Yes
TCGA-AB-2813-03,TCGA-AB-2813-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.401,7.886,9.665,8.888,4.589,11.02,6.666,4.589,3.984,6.689,High,High,High,High,High,High,Low,Low,Mid,Low,6,Yes
TCGA-AB-2919-03,TCGA-AB-2919-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.398,6.505,9.355,8.702,3.558,8.19,8.929,1.136,2.199,3.23,High,High,High,High,Mid,Mid,Low,Low,Low,Low,4,Yes
TCGA-AB-2870-03,TCGA-AB-2870-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.36,5.162,9.529,8.871,1.226,9.578,7.973,0.0,9.988,7.484,High,High,High,High,Low,High,Low,Low,High,Low,6,Yes
TCGA-AB-2820-03,TCGA-AB-2820-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.356,5.436,10.37,11.88,0.0,9.159,7.854,0.0,4.324,8.235,High,High,High,High,Low,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2976-03,TCGA-AB-2976-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.347,5.728,9.203,8.215,1.96,7.347,7.347,0.0,0.0,6.107,High,High,High,Mid,Low,Mid,Low,Low,Low,Low,3,Yes
TCGA-AB-2971-03,TCGA-AB-2971-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.275,5.603,9.62,8.754,2.906,9.844,7.581,1.662,1.662,7.008,High,High,High,High,Mid,High,Low,Low,Low,Low,5,Yes
TCGA-AB-2985-03,TCGA-AB-2985-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.264,5.766,9.741,8.594,1.184,10.01,6.61,4.654,10.69,9.361,High,High,High,Mid,Low,High,Low,Low,High,Low,5,Yes
TCGA-AB-2873-03,TCGA-AB-2873-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.259,6.198,10.12,9.538,3.362,9.37,7.26,4.146,0.0,10.56,High,High,High,High,Mid,High,Low,Low,Low,Mid,5,Yes
TCGA-AB-2847-03,TCGA-AB-2847-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.24,6.522,10.18,9.389,3.412,10.67,7.366,1.909,4.241,5.202,High,High,High,High,Mid,High,Low,Low,Mid,Low,5,Yes
TCGA-AB-2887-03,TCGA-AB-2887-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.235,5.415,9.072,10.6,3.124,8.748,8.296,2.031,0.0,5.741,High,High,High,High,Mid,Mid,Low,Low,Low,Low,4,Yes
TCGA-AB-2841-03,TCGA-AB-2841-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.197,3.303,9.692,8.663,3.773,8.676,7.991,1.181,2.264,10.86,High,Mid,High,Mid,Mid,Mid,Low,Low,Low,Mid,2,Yes
TCGA-AB-2948-03,TCGA-AB-2948-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.194,6.415,10.36,9.582,3.725,9.199,8.171,4.273,0.0,7.265,High,High,High,High,Mid,High,Low,Low,Low,Low,5,Yes
TCGA-AB-2890-03,TCGA-AB-2890-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.189,6.87,10.09,9.368,4.721,10.76,8.246,1.492,3.57,8.576,High,High,High,High,High,High,Low,Low,Mid,Low,6,Yes
TCGA-AB-2913-03,TCGA-AB-2913-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.184,5.638,9.451,7.878,2.294,7.602,8.004,1.562,0.0,0.0,High,High,High,Mid,Mid,Mid,Low,Low,Low,Low,3,Yes
TCGA-AB-2942-03,TCGA-AB-2942-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.181,4.57,10.49,8.692,0.0,8.145,7.479,0.0,11.34,4.144,High,Mid,High,High,Low,Mid,Low,Low,High,Low,4,Yes
TCGA-AB-2965-03,TCGA-AB-2965-03,TCGA Acute Myeloid Leukemia,Primary Blood Derived Cancer - Peripheral Blood,TCGA,White blood cell,7.177,6.078,8.224,6.396,2.009,8.618,6.895,0.0,2.818,8.672,High,High,High,Mid,Mid,Mid,Low,Low,Mid,Low,3,Yes
